,complaint_date,offense,borough,category,victim_age_group,victim_sex
0,2023-01-20,RAPE,BRONX,FELONY,18-24,F
1,2023-01-17,OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,MISDEMEANOR,18-24,F
2,2023-01-23,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
3,2023-01-02,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,18-24,F
4,2023-01-12,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
5,2023-01-06,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
6,2023-01-18,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
7,2023-01-30,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
8,2023-01-13,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,65+,M
9,2023-01-01,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
10,2023-01-06,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,F
11,2023-01-03,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,M
12,2023-01-06,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
13,2023-01-16,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
14,2023-01-30,HARRASSMENT 2,STATEN ISLAND,VIOLATION,UNKNOWN,D
15,2023-01-13,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,F
16,2023-01-14,SEX CRIMES,STATEN ISLAND,MISDEMEANOR,25-44,F
17,2023-01-09,HARRASSMENT 2,STATEN ISLAND,VIOLATION,65+,F
18,2023-01-02,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
19,2023-01-15,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,25-44,F
20,2023-01-04,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
21,2023-01-20,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,<18,M
22,2023-01-14,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
23,2023-01-29,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,UNKNOWN,M
24,2023-01-03,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
25,2023-01-12,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
26,2023-01-08,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
27,2023-01-13,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
28,2023-01-16,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,18-24,M
29,2023-01-07,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
30,2023-01-21,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
31,2023-01-03,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
32,2023-01-23,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
33,2023-01-25,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,M
34,2023-01-24,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
35,2023-01-21,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
36,2023-01-01,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
37,2023-01-05,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
38,2023-01-12,HARRASSMENT 2,STATEN ISLAND,VIOLATION,65+,M
39,2023-01-11,HARRASSMENT 2,STATEN ISLAND,VIOLATION,18-24,M
